ID,symmetry,seq_length
1a25_A,C2,298
1a45_A,C2,346
1a4i_A,C2,602
1a59_A,C2,756
1a5t_A,C2,668
1aap_A,C2,116
1ac6_A,C2,220
1aua_A,C2,592
1avv_A,C2,302
1ay2_A,C2,316
1b0a_A,C2,576
1b88_A,C2,228
1bih_A,C2,790
1btn_A,C2,212
1byu_A,C2,432
19hc_A,C2,584
1a19_A,C2,180
1a1x_A,C2,216
1a64_A,C2,194
1a78_A,C2,268
1aa7_A,C2,316
1adw_A,C2,246
1ag9_A,C2,350
1aj8_A,C2,742
1al4_A,C2,32
1am2_A,C2,398
1amp_A,C2,582
1an8_A,C2,416
1aoh_A,C2,294
1aor_A,C2,1210
1aox_A,C2,406
1aqt_A,C2,276
1aqu_A,C2,594
1ass_A,C2,318
1at0_A,C2,290
1auo_A,C2,436
1avb_A,C2,452
1awd_A,C2,188
1ayf_A,C2,210
1b0x_A,C2,188
1b43_A,C2,680
1b5p_A,C2,770
1b63_A,C2,666
1b67_A,C2,136
1b6u_A,C2,514
1b73_A,C2,508
1b76_A,C2,884
1b78_A,C2,386
1b7e_A,C2,840
1b8k_A,C2,238
1b8z_A,C2,180
1b9h_A,C2,776
1bam_A,C2,426
1bb9_A,C2,230
1bc2_A,C2,454
1bcg_A,C2,154
1bcm_A,C2,654
1bd0_A,C2,776
1bd7_A,C2,352
1bd9_A,C2,374
1bdo_A,C2,160
1bec_A,C2,476
1bed_A,C2,362
1bet_A,C2,214
1bg6_A,C2,718
1bgf_A,C2,248
1bgp_A,C2,618
1bho_1,C2,380
1bif_A,C2,938
1bk5_A,C2,844
1bkf_A,C2,214
1bkl_A,C2,226
1bmo_A,C2,466
1bmt_A,C2,492
1bow_A,C2,318
1btk_A,C2,338
1buo_A,C2,242
1bw0_A,C2,832
1bwd_A,C2,696
1bxk_A,C2,710
1byr_A,C2,310
1c02_A,C2,332
1c3r_A,C2,750
1c6o_A,C2,178
1c8u_A,C2,570
1c9o_A,C2,132
1cbf_A,C2,570
1cbi_A,C2,272
1cby_A,C2,518
1cc5_A,C2,166
1ccd_A,C2,154
1cdo_A,C2,748
1cei_A,C2,188
1chm_A,C2,802
1chu_A,C2,1080
1ci0_A,C2,456
1civ_A,C2,770
1ck1_A,C2,478
1cku_A,C2,170
1cm9_A,C2,148
1coz_A,C2,258
1cq3_A,C2,466
1cqk_A,C2,202
1csg_A,C2,254
1csn_A,C2,596
1ctf_A,C2,148
1cv8_A,C2,348
1cxq_A,C2,324
1cz3_A,C2,336
1czj_A,C2,222
1d0c_A,C2,888
1d1m_A,C2,130
1d2f_A,C2,780
1d2s_A,C2,340
1d3y_A,C2,602
1d6j_A,C2,422
1d7b_A,C2,372
1d7f_A,C2,1372
1d9c_A,C2,242
1db3_A,C2,744
1dbn_A,C2,478
1dbq_A,C2,578
1ddz_A,C2,992
1dek_A,C2,482
1dfx_A,C2,250
1dg1_G,C2,788
1dhf_A,C2,372
1div_A,C2,298
1dj0_A,C2,528
1dj2_A,C2,886
1djn_A,C2,1458
1dle_A,C2,596
1dpg_A,C2,970
1dqn_A,C2,460
1dqs_A,C2,786
1dqz_A,C2,560
